"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"95",14,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"96",14,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"83",14,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"84",14,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"85",14,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"86",14,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"87",14,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"88",14,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"97",15,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"98",15,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"105",15,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"106",15,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"107",15,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"108",15,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"109",15,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"110",15,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"111",15,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"112",15,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"99",15,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"100",15,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"101",15,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"102",15,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"103",15,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"104",15,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"113",16,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"114",16,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"121",16,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"122",16,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"123",16,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"124",16,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"125",16,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"126",16,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"127",16,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"128",16,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"115",16,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"116",16,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"117",16,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"118",16,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"119",16,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"120",16,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"129",17,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"130",17,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"137",17,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"138",17,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"139",17,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"140",17,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"141",17,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"142",17,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"143",17,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"144",17,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"131",17,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"132",17,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"133",17,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"134",17,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"135",17,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"136",17,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"145",18,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"146",18,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"153",18,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"154",18,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"155",18,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"156",18,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"157",18,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"158",18,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"159",18,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"160",18,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"147",18,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"148",18,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"149",18,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"150",18,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"151",18,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"152",18,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"161",19,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"162",19,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"169",19,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"170",19,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"171",19,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"172",19,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"173",19,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"174",19,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"175",19,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"176",19,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"163",19,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"164",19,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"165",19,12,0,0,0,230,1,0,1,0,0,0,0,0,0
